,Unnamed: 0,tweet_id,airline_sentiment,airline_sentiment_confidence,airline,text,tweet_created,x,y
55,637,5.70235195934118e+17,negative,1.0,United,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.,2015-02-24 06:53:59 -0800,29.98384925,-95.3374653
56,638,5.70234996562113e+17,negative,1.0,United,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought,2015-02-24 06:53:12 -0800,29.98372726,-95.33734532
57,672,5.70204900375687e+17,negative,1.0,United,@united I'm so frustrated and nervous because of this.,2015-02-24 04:53:36 -0800,29.98521945,-90.25215941
58,673,5.70204730745422e+17,negative,1.0,United,@united are the ones who make it difficult for me.,2015-02-24 04:52:56 -0800,29.98698389,-90.25081767
59,674,5.70204649363341e+17,negative,0.6771,United,@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You,2015-02-24 04:52:36 -0800,29.98699328,-90.25081691
60,676,5.70201707621147e+17,negative,1.0,United,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?",2015-02-24 04:40:55 -0800,29.98878092,-90.25836915
61,677,5.70201440704029e+17,negative,0.6515,United,@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?,2015-02-24 04:39:51 -0800,29.9880285,-90.25781369
62,684,5.70188838775103e+17,negative,1.0,United,@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.,2015-02-24 03:49:47 -0800,29.987463,-90.25860012
63,685,5.70188684881822e+17,negative,1.0,United,@united Booked a flight home over 7 months ago and requested seats together for my fiancée and I. We got 2 middle seats. UNACCEPTABLE. The,2015-02-24 03:49:10 -0800,29.98746669,-90.25862007
64,687,5.70187940221071e+17,positive,0.6455,United,@united thnx for the info,2015-02-24 03:46:13 -0800,35.8057062,-78.7869445
65,689,5.7018568756947e+17,negative,1.0,United,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines",2015-02-24 03:37:16 -0800,52.48854137,-1.91022836
66,712,5.70151698489954e+17,negative,1.0,United,@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome,2015-02-24 01:22:12 -0800,45.58711296,-122.58038932
67,721,5.70126668922294e+17,positive,1.0,United,@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer,2015-02-23 23:42:44 -0800,59.38247253,18.00789007
71,756,5.70096582546166e+17,negative,1.0,United,@united airlines is the absolute worst. They have no idea what they are doing. #neveragain #UnitedAirlines,2015-02-23 21:43:11 -0800,32.86680572,-80.01338439
72,766,5.700910333689e+17,neutral,0.6373,United,@united unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight,2015-02-23 21:21:08 -0800,41.9785651,-87.90833965
73,768,5.70088980278059e+17,neutral,1.0,United,@united what time does check in open for flight no UA80 from Manchester to Newark today ?,2015-02-23 21:12:59 -0800,53.36729431,-2.27861694
74,769,5.70087435759186e+17,negative,1.0,United,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed.",2015-02-23 21:06:51 -0800,41.98202331,-87.90374263
75,787,5.7008141171506e+17,neutral,1.0,United,@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?,2015-02-23 20:42:54 -0800,37.7994546,-122.427629
76,796,5.70079041547473e+17,negative,1.0,United,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United,2015-02-23 20:33:29 -0800,41.97777091,-87.90782014
77,804,5.70074583379939e+17,negative,1.0,United,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?,2015-02-23 20:15:46 -0800,41.88298649,-87.63403627
78,809,5.70071999780934e+17,neutral,0.6464,United,"@united question:are there onboad 110 volt outlets in all planes? If so, where?",2015-02-23 20:05:30 -0800,35.8056542,-78.786848
79,820,5.70066391388172e+17,negative,1.0,United,"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!",2015-02-23 19:43:13 -0800,33.9411179,-118.3972405
80,829,5.70060997907448e+17,negative,0.7,United,@united After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.,2015-02-23 19:21:47 -0800,41.98191311,-87.80888924
81,840,5.70055898367799e+17,negative,1.0,United,@united I'm very frustrated and have wasted 2 days now due to your equipment failures.,2015-02-23 19:01:31 -0800,39.85862444,-104.6768992
82,846,5.70053912214024e+17,positive,1.0,United,@united I appreciate your efforts getting me home!,2015-02-23 18:53:38 -0800,38.9470418,-77.4511456
83,850,5.70053417311343e+17,negative,1.0,United,@united UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees. MaryJo was rude and unhelpful.,2015-02-23 18:51:40 -0800,41.97758714,-87.91388554
84,854,5.70050891929281e+17,positive,1.0,United,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..",2015-02-23 18:41:38 -0800,38.9470207,-77.4511745
87,914,5.70018079993938e+17,negative,0.6482,United,@united So you are inadequate by accident?,2015-02-23 16:31:15 -0800,40.68545235,-74.18374208
88,921,5.70012706704662e+17,neutral,0.6511,United,"@united did you have seen my message today?? About a mcdonnell Douglas dc 10 model?? I will hear it if you read it, Goodnight now",2015-02-23 16:09:54 -0800,51.3228181,5.3576138
89,936,5.70001906199888e+17,negative,0.6558,United,@united your helpful agents in Club helped.  I am just out baggage fees and a night of my life.stop doing business with @SilverAirways,2015-02-23 15:26:59 -0800,26.07324041,-80.14510971
90,943,5.69998289447354e+17,negative,1.0,United,@united currently on board so not now. Check in was terrible. Staff rude. Expensive luggage thrown around etc.,2015-02-23 15:12:36 -0800,40.69943599,-74.17868875
91,946,5.69995961570857e+17,negative,1.0,United,@united should NOT sell tickets for @SilverAirways on http://t.co/onhXHCO6bK.  has terrible service and UA staff cannot reach Silver,2015-02-23 15:03:21 -0800,26.07694041,-80.13546475
92,952,5.69991606385967e+17,negative,1.0,United,@united yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet,2015-02-23 14:46:03 -0800,40.6992418,-74.17884798
93,969,5.69984785860465e+17,negative,1.0,United,@united of course I did. The bag should be here by now :( #frustrated,2015-02-23 14:18:57 -0800,28.62111274,-81.29294408
94,976,5.6998103411005e+17,negative,1.0,United,@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines,2015-02-23 14:04:02 -0800,40.69814396,-74.17906717
95,977,5.69980415919854e+17,negative,1.0,United,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail,2015-02-23 14:01:35 -0800,39.85790482,-104.67039013
96,979,5.69979566279627e+17,negative,1.0,United,"@united I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around",2015-02-23 13:58:12 -0800,39.85799572,-104.67056217
98,1002,5.69967925416886e+17,negative,0.6703,United,@united i think he actually did not like your screen  @campilley 😃😃😃,2015-02-23 13:11:57 -0800,51.72050559,8.72711201
100,1018,5.69963935429825e+17,negative,1.0,United,@united That's real dedication &amp; concern. Your apologies don't fix the issue nor any of the miserable issues I've had over the past 6 mos.,2015-02-23 12:56:06 -0800,29.7420124,-95.5606921
101,1027,5.6996031102285e+17,negative,1.0,United,"@united Arriving 25 minutes early is nice, but not if equipment isn't ready. Waiting 30 minutes for luggage, so far. Time gains wiped out.",2015-02-23 12:41:42 -0800,40.6875448,-74.17714813
102,1039,5.69956115724661e+17,negative,1.0,United,"@united Heads up We didn't check 8 bags, 2 we checked arrived, those aren't claim #s for our 2. Other people's bags? http://t.co/dplQ3mhQGD",2015-02-23 12:25:01 -0800,19.43493094,-99.18877967
103,1052,5.69950450352415e+17,negative,1.0,United,@united I did. The AC went on for about 20 minutes before returning to the Mojave Desert. #PressureCooker #HeatTrap,2015-02-23 12:02:31 -0800,29.7421541,-95.5600896
104,1063,5.69941617697644e+17,negative,1.0,United,"@united On a standby to Denver, which has been delayed, and a confirmed to Aspen, whose flights have been Cancelled Flighted all day. 0 confidence.",2015-02-23 11:27:25 -0800,41.97745295,-87.91025951
105,1069,5.6993714331485e+17,negative,1.0,United,"@united I will do delayed baggage claim when I land. Hopefully the bag isn't broken into, damaged or lost w/c will result in more complaints",2015-02-23 11:09:38 -0800,41.97475934,-87.89040377
106,1071,5.69936640669581e+17,positive,1.0,United,@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE,2015-02-23 11:07:38 -0800,51.322819,5.3576218
107,1072,5.69936580883784e+17,negative,0.6568,United,@united Thanks! I'll fill up the form as soon as I land. I don't like being duped so I hope you will appreciate my feedback &amp; will be better,2015-02-23 11:07:24 -0800,41.97474769,-87.89039148
108,1075,5.69936348217352e+17,negative,1.0,United,"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?",2015-02-23 11:06:28 -0800,41.97758466,-87.91065356
109,1085,5.69933357515026e+17,negative,1.0,United,"@united  18 flights so far this year. 13 delays including 2 Cancelled Flightations.  Late Flightst reason, crew needed mandatory sleep. IN MEXICO!",2015-02-23 10:54:35 -0800,29.98788997,-95.34470061
110,1106,5.69925612069999e+17,negative,0.6995,United,@united noooooooooooooooooooooope.,2015-02-23 10:23:49 -0800,45.52146907,-122.69810485
111,1117,5.69922214255919e+17,negative,1.0,United,@united How do I formally complain about your customer service handler who misconnected me. I was denied boarding &amp; I now lost my bag. Help!,2015-02-23 10:10:19 -0800,41.97495038,-87.89005988
113,1162,5.69909655813501e+17,negative,1.0,United,@united it won't help...been there done that.,2015-02-23 09:20:25 -0800,29.98877308,-95.33846478
114,1238,5.69871433662271e+17,negative,1.0,United,"@united working with Lisa J at ORD. she's working hard for us, but this is still VERY disappointing. was on 634 to EWR.",2015-02-23 06:48:32 -0800,41.97883697,-87.90639116
115,1265,5.6986098940065e+17,neutral,0.6444,United,@united I've got a campus visit in an hour and I'm still wearing the same clothes...,2015-02-23 06:07:02 -0800,45.67920767,-111.04847652
116,1279,5.69856109613167e+17,negative,1.0,United,"@united they're not, actually. gate agent was so rude. now standing in a line waiting for reFlight Booking Problems. missed the only flight to STI. awful.",2015-02-23 05:47:38 -0800,41.97888728,-87.90617197
117,1293,5.69849517077623e+17,negative,1.0,United,@united funny I paid to check my bag and now flight 1086 is BEGGING folks to check bags for free 1 hour before flight. #notcool,2015-02-23 05:21:26 -0800,33.64323551,-84.44248239
118,1299,5.69845865185206e+17,neutral,0.6291,United,@united sitting in the middle for the first time .. Hope it works out well,2015-02-23 05:06:56 -0800,40.69450196,-74.1749219
120,1337,5.69814010398274e+17,negative,1.0,United,@united Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be. HOPELESS,2015-02-23 03:00:21 -0800,39.24541389,-106.88172648
121,1343,5.69808684252942e+17,positive,1.0,United,@united I am impressed with your super-fast reply to @CGJase,2015-02-23 02:39:11 -0800,20.0615871,110.18390431
125,1413,5.69729325546603e+17,negative,1.0,United,@united You are a F&amp;$KING joke. Your customer service is woeful. If your staff tell a passenger that they will do something do it!,2015-02-22 21:23:50 -0800,39.84911904,-104.67447584
126,1418,5.69724705063596e+17,negative,1.0,United,@united does asap mean two hours worth of delay and a return to the terminal to count the luggage a third time? #gottogetbetter,2015-02-22 21:05:29 -0800,36.08161548,-115.14959772
127,1442,5.69716594731045e+17,neutral,1.0,United,@united UA1469. Just landed.,2015-02-22 20:33:15 -0800,27.9746606,-82.5320172
128,1451,5.69714640764035e+17,negative,1.0,United,@united compensate us for new clothes bet you won't,2015-02-22 20:25:29 -0800,45.67922537,-111.04823044
129,1455,5.69711003585221e+17,negative,1.0,United,@united currently crying... I wanted to ski tomorrow but prolly not. Just a boy tryna fulfill his dreams,2015-02-22 20:11:02 -0800,45.67922693,-111.04839797
130,1456,5.6971085316071e+17,negative,1.0,United,"@united I tried the online tracking and they said something like ""attempting to locate luggage""",2015-02-22 20:10:26 -0800,45.67925887,-111.04844481
131,1457,5.69710627649761e+17,negative,1.0,United,@united your worker told us not to call because we'd be talking to someone in Thailand...,2015-02-22 20:09:33 -0800,45.67912434,-111.04847959
132,1461,5.69710072491745e+17,negative,1.0,United,@united here we go again. 2 of 3 segments SFO--New York RT were delayed OVER 2 hrs each! Why do you suck so BAD!?!Maybe another line of bus?,2015-02-22 20:07:20 -0800,29.98378319,-95.33473143
133,1468,5.69707970876936e+17,neutral,1.0,United,@united She is travelling from Melbourne (Australia ) to Bogota (Colombia) tomorrow,2015-02-22 19:58:59 -0800,-38.0271635,145.2112317
134,1469,5.69707569448559e+17,neutral,1.0,United,@united Hi.  My relative's Flight Booking Problems number is MY8YB4.  Her name is Clarita Jaramillo Mejia.  Thank you,2015-02-22 19:57:23 -0800,-38.0269936,145.2110041
137,1511,5.69690742169293e+17,negative,1.0,United,@united not sure why the people in row 7 that paid for a premium seat can't use their overhead space... http://t.co/i9s86KiHge,2015-02-22 18:50:31 -0800,33.94077727,-118.39921036
138,1512,5.69690626293305e+17,negative,1.0,United,@united is so cheap they couldn't afford to run the AC on #UA1510. They took pressure cooker to a new level. #Cheap #WorstAirline,2015-02-22 18:50:04 -0800,29.9866693,-95.3382794
140,1590,5.69653506291819e+17,negative,1.0,United,@united CDG-LAS 42 hours. And my luggage is in SFO. I've been wearing the same clothes for 42 hours. Thank you. #flythefriendlyskies,2015-02-22 16:22:34 -0800,36.08655568,-115.1394417
141,1613,5.6964506579207e+17,positive,0.66,United,@united can Cancelled Flight my flight anytime if this is where they keep me for the night.. http://t.co/avRTOWTyzk,2015-02-22 15:49:01 -0800,41.92992293,-87.66944213
142,1626,5.6964134631664e+17,positive,1.0,United,@united Resolved. Over hour of work on  ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.,2015-02-22 15:34:15 -0800,41.97890473,-87.91027352
143,1639,5.69639288649884e+17,neutral,1.0,United,"@united @jeffsmisek @RobertFor39 @Fioretti2ndWard @garcia4chicago  
FAA invest near miss on O'Hare runway last wk:http://t.co/jVJ73ZZa4A",2015-02-22 15:26:04 -0800,41.9763291,-87.73856403
144,1648,5.69635707746161e+17,positive,0.6735,United,@united look at this beauty 😉 dc-10 united airlines 😉 Hope you like this beauty 😉 http://t.co/NS1aCFqCdQ,2015-02-22 15:11:50 -0800,51.3228191,5.3576225
145,1660,5.69632420468625e+17,negative,0.6524,United,@united now let there also pls be in-flight live TV on UA469 DEN-EWR so I can watch the #Oscars ??,2015-02-22 14:58:46 -0800,43.56768225,-116.22061173
146,1662,5.69631508379664e+17,positive,1.0,United,@united it was such a lovely part of this long day - attendants on UA5168 (most) /UA795 were beyond exceptional today. #GiveThoseLadiesRaise,2015-02-22 14:55:09 -0800,38.95201335,-77.44443882
147,1670,5.69629990129521e+17,positive,1.0,United,@united thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!,2015-02-22 14:49:07 -0800,43.56764134,-116.22089932
149,1696,5.69621349095702e+17,negative,1.0,United,"@united ... I want my bag off flight 1142, what do I do now?",2015-02-22 14:14:47 -0800,39.8586527,-104.6718518
150,1707,5.69619208884978e+17,negative,1.0,United,"@united, we've been waiting for over an hour for our luggage- what gives?",2015-02-22 14:06:17 -0800,40.69672337,-74.17710665
151,1712,5.69618868441723e+17,negative,1.0,United,@united is synonymous to with #rude. And #cheap. You really don't know how to value the customer,2015-02-22 14:04:55 -0800,47.4390828,-122.300713
152,1715,5.69618317440209e+17,negative,1.0,United,@united is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,2015-02-22 14:02:44 -0800,47.4389994,-122.3010208
153,1728,5.69614679154143e+17,negative,1.0,United,@united so unhelpful... http://t.co/vBfIeo2qJC,2015-02-22 13:48:17 -0800,39.85861469,-104.67233425
154,1749,5.69604805116563e+17,neutral,1.0,United,@united there is a sector whereby it says $0 in both bags...no bag allowance at all in international flight?,2015-02-22 13:09:02 -0800,-37.8536992,145.1106176
155,1758,5.69598985737867e+17,negative,1.0,United,"@united missing my amazing us bank work conference, not ok.  What do I do now?????",2015-02-22 12:45:55 -0800,39.8586566,-104.6718497
156,1759,5.69598457809277e+17,negative,1.0,United,"@united ... frozen lines on flight, not continuing due to 'passenger comfort'? Not ok, sat on the plane as long as a flight to Vegas would !",2015-02-22 12:43:49 -0800,39.8586593,-104.6718352
157,1768,5.69593910869127e+17,negative,1.0,United,"@United says we had a weather delay in #YXE this morning. The ""weather"" didn't affect any other airline. #UA6136 http://t.co/4JdvK8tCqx",2015-02-22 12:25:45 -0800,39.85873319,-104.67372668
159,1814,5.6957164304493e+17,negative,1.0,United,"@united I'm not sure how you can help. Your flight experience is terrible, planes are dirty and staff is rude. Start over perhaps?",2015-02-22 10:57:16 -0800,37.83520596,-122.25460611
160,1825,5.69568010555433e+17,negative,1.0,United,@united Then you delete my return ticket to Europe and blame me for the now show? This airline is a joke. 3 times this happened now.3 times!,2015-02-22 10:42:50 -0800,29.98704632,-95.3378275
161,1826,5.69567685719102e+17,negative,1.0,United,"@united When my United flight arrives Late Flight and I'm told to re-book my connecting United flight, you characterize that as a ""no show""",2015-02-22 10:41:32 -0800,29.98707518,-95.33783524
162,1833,5.69564671688118e+17,negative,1.0,United,@united flight 5903 stranded on Tarmac in Chicago. No gates available?! Plane getting very hot and uncomfortable.,2015-02-22 10:29:34 -0800,41.97862209,-87.91469774
163,1840,5.6956063395761e+17,positive,0.3551,United,@united will do. Just need to get CVG.... and my bag too. Thanks,2015-02-22 10:13:31 -0800,41.97456785,-87.90563774
164,1855,5.69553741222953e+17,positive,1.0,United,"@united just touched down in Miami - not too far off , Nicely done united 👍",2015-02-22 09:46:08 -0800,25.79104444,-80.27338351
166,1878,5.69539000312189e+17,negative,1.0,United,@united who authors this fiction? I just heard on radio we don't even have a jetway secured yet #UA5037 #CMH http://t.co/T78k7aBtWF,2015-02-22 08:47:33 -0800,39.99829207,-82.88085401
167,1886,5.6953426813066e+17,negative,1.0,United,@united you can't say the flight is pulled in and departs in 2 mins if boarding hasn't even started! http://t.co/2IKbP8gxWi,2015-02-22 08:28:45 -0800,39.99814659,-82.88058383
168,1890,5.69532005320253e+17,negative,1.0,United,"@united the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting",2015-02-22 08:19:46 -0800,38.94562938,-77.44400264
169,1934,5.6951412449058e+17,neutral,0.6365,United,@united with about 25 people trying to get on flights,2015-02-22 07:08:42 -0800,29.98872603,-95.3384666
170,1936,5.69514001450672e+17,negative,1.0,United,@united they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,2015-02-22 07:08:13 -0800,29.98870677,-95.33845443
171,1945,5.69508469088387e+17,negative,1.0,United,@united why don't you de-ice while the plane sits there with no one in it for 2 hours ?? Or we could just delay :/,2015-02-22 06:46:14 -0800,40.6941088,-74.17545854
172,1971,5.69500030459118e+17,negative,1.0,United,"@united did your super computer 💩 ots pants? Lots of cranky people in line at CMH reFlight Booking Problems, delaying check-ins of on-time, direct flyers",2015-02-22 06:12:42 -0800,39.99806982,-82.88439575
173,2011,5.69475306018353e+17,neutral,0.6807,United,"@united Seat 14A, Flight UA895",2015-02-22 04:34:27 -0800,22.31355693,113.92636768
175,2062,5.69411383265075e+17,negative,1.0,United,@united new 737 plane; wifi: not working. Entertainment: non existent. New Seats: seriously uncomfortable. Really? #unitedfail UA1550,2015-02-22 00:20:27 -0800,37.61980156,-122.38447633
176,2063,5.69407352299848e+17,negative,0.7029,United,@united - you sure missed the mark on tonight's redeye from LAX to Chicago. What a mess! You can do better!,2015-02-22 00:04:26 -0800,33.94171725,-118.39844033
177,2121,5.69357781402309e+17,negative,1.0,United,@united I'm extremely disappointed w my service for this trip as a #United #MileagePlus Explorer Card holder.,2015-02-21 20:47:27 -0800,34.99254864,-80.92841859
178,2123,5.6935719614172e+17,positive,1.0,United,@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk,2015-02-21 20:45:08 -0800,37.61829369,-122.39192247
